"","old_name","new_name2"
"202","Ions_IC_dich_tf_sulphate_mdl","dich.IC.TF.sulphate_mdl"
"203","Ions_IC_dich_tf_oxalate","dich.IC.TF.oxalate"
"204","Ions_IC_dich_tf_oxalate_mdl","dich.IC.TF.oxalate_mdl"
"205","Ions_IC_dich_tf_bromide","dich.IC.TF.bromide"
"206","Ions_IC_dich_tf_bromide_mdl","dich.IC.TF.bromide_mdl"
"207","Ions_IC_dich_tf_nitrate","dich.IC.TF.nitrate"
"208","Ions_IC_dich_tf_nitrate_mdl","dich.IC.TF.nitrate_mdl"
"209","Ions_IC_dich_tf_phosphate","dich.IC.TF.phosphate"
"210","Ions_IC_dich_tf_phosphate_mdl","dich.IC.TF.phosphate_mdl"
"211","Ions_IC_dich_tf_lithium","dich.IC.TF.lithium"
"212","Ions_IC_dich_tf_lithium_mdl","dich.IC.TF.lithium_mdl"
"213","Ions_IC_dich_tf_sodium","dich.IC.TF.sodium"
"214","Ions_IC_dich_tf_sodium_mdl","dich.IC.TF.sodium_mdl"
"215","Ions_IC_dich_tf_ammonium","dich.IC.TF.ammonium"
"216","Ions_IC_dich_tf_ammonium_mdl","dich.IC.TF.ammonium_mdl"
"217","Ions_IC_dich_tf_potassium","dich.IC.TF.potassium"
"218","Ions_IC_dich_tf_potassium_mdl","dich.IC.TF.potassium_mdl"
"219","Ions_IC_dich_tf_magnesium","dich.IC.TF.magnesium"
"220","Ions_IC_dich_tf_magnesium_mdl","dich.IC.TF.magnesium_mdl"
"221","Ions_IC_dich_tf_calcium","dich.IC.TF.calcium"
"222","Ions_IC_dich_tf_calcium_mdl","dich.IC.TF.calcium_mdl"
"223","Ions_IC_dich_tf_strontium","dich.IC.TF.strontium"
"224","Ions_IC_dich_tf_strontium_mdl","dich.IC.TF.strontium_mdl"
"225","Ions_IC_dich_tf_barium","dich.IC.TF.barium"
"226","Ions_IC_dich_tf_barium_mdl","dich.IC.TF.barium_mdl"
"227","spec_pm2_5","spec.pm2_5"
"228","spec_pm2_5_mdl","spec.TOR.QF.pm_b_mdl"
"229","spec_pres","spec.pres"
"230","spec_temp","spec.temp"
"231","spec_actual_volume","spec.actual_volume"
"232","spec_dich_pm2_5","spec.dich.pm2_5"
"233","spec_sulphate","spec.sulphate"
"234","spec_t_no3","spec.t_no3"
"235","spec_n_no3","spec.n_no3"
"236","spec_nitrate","spec.nitrate"
"237","spec_ammonium","spec.ammonium"
"238","spec_oc_ra","spec.oc_ra"
"239","spec_oc_rb","spec.oc_rb"
"240","spec_oc","spec.oc"
"241","spec_ec","spec.ec"
"242","spec_ammonia","spec.ammonia"
"243","spec_press","spec.press"
"244","spec_ws","spec.ws"
"245","spec_hum","spec.hum"
"246","spec_tdp","spec.tdp"
"247","spec_wd","spec.wd"
"248","spec_nitric acid","spec.nitricacid"
"249","spec_sulphur dioxide","spec.sulphurdioxide"
"250","Ions_IC_spec_tf_fluoride","spec.IC.TF.fluoride"
"251","Ions_IC_spec_tf_fluoride_mdl","spec.IC.TF.fluoride_mdl"
"252","Ions_IC_spec_tf_chloride","spec.IC.TF.chloride"
"253","Ions_IC_spec_tf_chloride_mdl","spec.IC.TF.chloride_mdl"
"254","Ions_IC_spec_tf_sulphate","spec.IC.TF.sulphate"
"255","Ions_IC_spec_tf_sulphate_mdl","spec.IC.TF.sulphate_mdl"
"256","Ions_IC_spec_tf_oxalate","spec.IC.TF.oxalate"
"257","Ions_IC_spec_tf_oxalate_mdl","spec.IC.TF.oxalate_mdl"
"258","Ions_IC_spec_tf_nitrate","spec.IC.TF.nitrate"
"259","Ions_IC_spec_tf_nitrate_mdl","spec.IC.TF.nitrate_mdl"
"260","Ions_IC_spec_tf_lithium","spec.IC.TF.lithium"
"261","Ions_IC_spec_tf_lithium_mdl","spec.IC.TF.lithium_mdl"
"262","Ions_IC_spec_tf_sodium","spec.IC.TF.sodium"
"263","Ions_IC_spec_tf_sodium_mdl","spec.IC.TF.sodium_mdl"
"264","Ions_IC_spec_tf_ammonium","spec.IC.TF.ammonium"
"265","Ions_IC_spec_tf_ammonium_mdl","spec.IC.TF.ammonium_mdl"
"266","Ions_IC_spec_tf_potassium","spec.IC.TF.potassium"
"267","Ions_IC_spec_tf_potassium_mdl","spec.IC.TF.potassium_mdl"
"268","Ions_IC_spec_tf_magnesium","spec.IC.TF.magnesium"
"269","Ions_IC_spec_tf_magnesium_mdl","spec.IC.TF.magnesium_mdl"
"270","Ions_IC_spec_tf_calcium","spec.IC.TF.calcium"
"271","Ions_IC_spec_tf_calcium_mdl","spec.IC.TF.calcium_mdl"
"272","Ions_IC_spec_tf_acetate","spec.IC.TF.acetate"
"273","Ions_IC_spec_tf_acetate_mdl","spec.IC.TF.acetate_mdl"
"274","Ions_IC_spec_tf_formate","spec.IC.TF.formate"
"275","Ions_IC_spec_tf_formate_mdl","spec.IC.TF.formate_mdl"
"276","Ions_IC_spec_tf_propionate","spec.IC.TF.propionate"
